date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-05-15,19517.050000000007,240.0,1,0.47,0.0,05:01AM,0.0,none,1010.28,partly-cloudy-day,0,5,0,81.32104166666669,0.0,0.0,0.0,1.0,0.0
2017-05-16,20302.869999999995,187.0,1,0.41,0.0,05:01AM,0.0,none,1014.35,partly-cloudy-day,1,5,0,108.57149732620319,0.0,0.0,0.0,0.0,1.0
2017-05-17,16779.5,278.0,1,0.5,0.0,05:01AM,0.0,none,1012.83,clear-day,2,5,0,60.35791366906475,0.0,0.0,0.0,0.0,1.0
2017-05-18,18928.199999999993,281.0,1,0.48,0.0,05:01AM,0.0,none,1010.35,clear-day,3,5,0,67.36014234875442,0.0,0.0,0.0,0.0,1.0
2017-05-19,20266.91,305.0,1,0.46,0.0004,05:00PM,0.0,none,1011.43,partly-cloudy-day,4,5,0,66.44888524590164,0.0,0.0,0.0,0.0,1.0
2017-05-20,23298.469999999994,334.0,1,0.59,0.0015,08:00AM,0.0,rain,1026.16,partly-cloudy-day,5,5,0,69.75589820359279,0.0,0.0,0.0,1.0,0.0
2017-05-21,18246.0,286.0,1,0.52,0.0,05:01AM,0.0,none,1025.46,partly-cloudy-day,6,5,0,63.7972027972028,0.0,0.0,0.0,1.0,0.0
2017-05-22,14307.2,191.0,0,0.95,0.0779,04:00PM,0.26,rain,1014.75,cloudy,0,5,0,74.90680628272251,0.0,0.0,0.0,1.0,0.0
2017-05-23,17136.03,254.0,1,0.64,0.0,05:01AM,0.0,none,1010.11,partly-cloudy-day,1,5,0,67.46468503937007,0.0,0.0,0.0,1.0,0.0
2017-05-24,17580.299999999996,262.0,1,0.68,0.0091,07:00AM,0.0,rain,1008.92,partly-cloudy-day,2,5,0,67.1003816793893,0.0,0.0,0.0,1.0,0.0
2017-05-25,15073.34,184.0,0,0.95,0.0742,12:00AM,0.42,rain,999.74,rain,3,5,0,81.92032608695652,0.0,0.0,0.0,1.0,0.0
2017-05-26,21286.48,313.0,1,0.61,0.0952,01:00AM,0.0,rain,1005.6,partly-cloudy-day,4,5,0,68.00792332268371,0.0,0.0,0.0,0.0,1.0
2017-05-27,21122.05,328.0,1,0.71,0.0,05:01AM,0.0,none,1011.87,cloudy,5,5,0,64.39649390243902,0.0,0.0,0.0,1.0,0.0
2017-05-28,21584.69,306.0,1,0.67,0.0002,12:00AM,0.0,none,1013.93,partly-cloudy-day,6,5,0,70.53820261437907,0.0,0.0,0.0,1.0,0.0
2017-05-29,14086.2,206.0,1,0.87,0.0262,06:00AM,0.0,rain,1018.2,cloudy,0,5,0,68.37961165048544,0.0,0.0,0.0,1.0,0.0
2017-05-30,13965.62,198.0,1,0.9,0.0033,03:00PM,0.0,rain,1019.84,cloudy,1,5,0,70.53343434343435,0.0,0.0,0.0,1.0,0.0
2017-05-31,17932.979999999996,263.0,1,0.74,0.0083,07:00AM,0.0,rain,1013.06,clear-day,2,5,0,68.18623574144485,0.0,0.0,0.0,1.0,0.0
2017-06-01,17090.9,269.0,1,0.4,0.0004,12:00AM,0.0,none,1012.11,clear-day,3,6,0,63.53494423791822,0.0,0.0,0.0,0.0,1.0
2017-06-02,22712.79,219.0,1,0.37,0.0,05:01AM,0.0,none,1012.81,clear-day,4,6,0,103.7113698630137,0.0,0.0,0.0,0.0,1.0
2017-06-03,24031.63,334.0,1,0.36,0.0062,09:00AM,0.0,rain,1014.31,clear-day,5,6,0,71.95098802395209,0.0,0.0,0.0,0.0,1.0
2017-06-04,14567.500000000002,210.0,0,0.82,0.0082,04:00PM,0.0,rain,1011.74,cloudy,6,6,0,69.36904761904763,0.0,0.0,0.0,1.0,0.0
2017-06-05,14268.04,207.0,1,0.91,0.022000000000000002,04:00AM,0.0,rain,1007.21,cloudy,0,6,0,68.92772946859904,0.0,0.0,0.0,1.0,0.0
2017-06-06,15728.74,194.0,0,0.86,0.0138,09:00AM,0.0,rain,1011.57,cloudy,1,6,0,81.0759793814433,0.0,0.0,0.0,1.0,0.0
